ID,派發機關數量,派發機關
100640,1,金融監督管理委員會
100556,1,經濟部
100510,1,勞動部
100508,1,行政院主計總處
100507,1,法務部
100506,1,衛生福利部
100505,1,衛生福利部
100008,1,金融監督管理委員會
99745,1,內政部
99715,1,教育部
99714,1,財政部
99587,1,外交部
99506,1,高雄市政府
99242,1,財政部
99154,1,外交部
99153,1,行政院主計總處
99103,1,桃園市政府
98833,1,新北市政府
98805,1,國家發展委員會
98682,1,交通部
98611,41,行政院,內政部,外交部,國防部,教育部,法務部,經濟部,交通部,僑務委員會,國軍退除役官兵輔導委員會,行政院原子能委員會,科技部,行政院農業委員會,勞動部,行政院環境保護署,大陸委員會,原住民族委員會,金融監督管理委員會,國家通訊傳播委員會,衛生福利部,文化部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
98496,1,本平臺營運窗口
98399,1,內政部
97944,1,金融監督管理委員會
97831,1,衛生福利部
97545,1,法務部
97536,1,交通部
97475,1,財政部
97326,1,交通部
97325,1,交通部
97309,1,交通部
97017,1,交通部
97016,1,交通部
96819,1,交通部
96818,1,內政部
96804,1,臺中市政府
96750,1,行政院環境保護署
96729,1,交通部
96727,1,交通部
96658,22,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
96593,1,行政院農業委員會
96583,23,交通部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
96456,22,交通部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
96404,1,勞動部
96327,1,台灣電力股份有限公司
96317,1,經濟部
96208,1,臺北市政府
96165,1,交通部
96097,1,交通部
96036,1,內政部
95991,1,內政部
95959,1,內政部
95878,22,交通部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
95850,1,衛生福利部
95809,1,內政部
95764,1,經濟部
95753,1,衛生福利部
95668,1,司法院
95118,1,行政院農業委員會
95115,1,行政院農業委員會
95000,1,外交部
94946,1,內政部
94934,3,內政部,法務部,司法院
94741,1,彰化縣政府
94628,1,交通部
94521,1,本平臺營運窗口
94131,1,衛生福利部
93975,1,內政部
93919,1,司法院
93917,1,法務部
93751,1,衛生福利部
93230,52,行政院,內政部,外交部,國防部,教育部,法務部,經濟部,交通部,僑務委員會,國軍退除役官兵輔導委員會,國立故宮博物院,行政院原子能委員會,科技部,中央銀行,中央選舉委員會,勞動部,行政院環境保護署,大陸委員會,公平交易委員會,行政院公共工程委員會,原住民族委員會,臺灣省諮議會,金融監督管理委員會,國家通訊傳播委員會,衛生福利部,文化部,行政院人事行政總處,臺南市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,監察院,司法院,立法院,銓敘部,考選部,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹市政府,臺北市政府,海洋委員會
92392,1,臺中市政府
92129,1,國家發展委員會
92128,1,行政院
91850,1,衛生福利部
91775,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
91768,1,教育部
91623,1,財政部
91468,1,交通部
90960,1,內政部
90796,1,財政部
90569,1,教育部
89997,27,行政院,內政部,國防部,教育部,法務部,經濟部,交通部,僑務委員會,國軍退除役官兵輔導委員會,國立故宮博物院,行政院原子能委員會,國家發展委員會,行政院農業委員會,中央選舉委員會,勞動部,大陸委員會,公平交易委員會,行政院公共工程委員會,原住民族委員會,臺灣省諮議會,客家委員會,國家通訊傳播委員會,衛生福利部,文化部,行政院主計總處,行政院人事行政總處,海洋委員會
89941,1,交通部
89924,1,交通部
89921,1,臺北市政府
89910,1,桃園市政府
89898,1,交通部
89895,1,內政部
89835,1,經濟部
89715,1,國家發展委員會
89466,1,教育部
89268,1,行政院環境保護署
88841,1,行政院公共工程委員會
88658,1,金融監督管理委員會
88527,1,內政部
88086,1,內政部
88058,1,交通部
88057,1,交通部
87990,1,財政部
87877,1,外交部
87474,1,內政部
87329,1,國家發展委員會
87288,1,金融監督管理委員會
86935,1,衛生福利部
86795,1,本平臺營運窗口
86168,1,內政部
86118,1,教育部
86086,22,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府,經濟部
85987,1,財政部
85979,1,內政部
85978,1,內政部
85977,1,內政部
85975,1,內政部
85809,1,內政部
85808,1,內政部
85806,1,內政部
85805,1,內政部
85803,1,內政部
85801,1,內政部
85548,22,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
85538,1,監察院
85476,1,桃園市政府
85448,22,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
85402,1,新北市政府
85399,1,新北市政府
85351,22,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
85350,20,臺南市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,臺北市政府,中央選舉委員會
85313,1,內政部
85312,1,內政部
85269,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,臺北市政府
85209,1,經濟部
85159,1,內政部
85158,1,內政部
85156,1,內政部
85148,1,臺北市政府
85135,1,行政院農業委員會
85072,1,經濟部
83740,1,內政部
83475,21,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,基隆市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,彰化縣政府,宜蘭縣政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府
83406,1,內政部
83405,1,內政部
83403,1,內政部
83402,1,內政部
83375,1,臺南市政府
81910,1,內政部
81907,1,內政部
81638,1,台灣電力股份有限公司
81606,1,金融監督管理委員會
81404,1,內政部
81358,1,內政部
81235,1,行政院環境保護署
