ID,建議之標題,建議資料集名稱,建議開放的欄位,建議原因,派發機關,回復狀態,分派狀態,回復時間,回應
97944,建議提供每日臺灣證券交易所發行量加權股價指數成分股暨市值比重,每日臺灣證券交易所發行量加權股價指數成分股暨市值比重,"1. 日期
2. 排行
3. 證券名稱
4. 市值
5. 市值佔大盤比重","1. 此為價值選股之重要參考資料
2. 目前的資料每月更新一次，間隔太久會失去參考價值
3. 建議上傳約30日資料，有利於做動量分析",金融監督管理委員會,已回復,已分派,"星期四, 一月 24, 2019 - 17:29","[<p>您好：<br/>
本項資料已於本公司「網路資訊商店」公開販售，資料為每一交易日更新並提供多種格式下載，詳情請洽網站說明，歡迎多加利用。</p>, <p>網路資訊商店：https://eshop.twse.com.tw/<br/>
商品介紹網頁：https://eshop.twse.com.tw/zh/product/detail/35fa6e1e551c4e00870aaea793eb8a58</p>, <p>臺灣證券交易所謹復。</p>]",[<p>關於您建議—【 建議提供每日臺灣證券交易所發行量加權股價指數成分股暨市值比重 】的建議開放資料集，已請主管機關【 金融監督管理委員會 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97831,您好~因為最近虐童案頻傳，想要有社工及安置兒童人數的資料作分析,各縣市及兒童安置或列入危險群及各縣市社工人數,各縣市、兒童注意危險人數、中度危險人數、危險人數、已安置人數、未安置人數、社工人數,"本公司以分析決策為主要項目，想為兒童盡一份心力，分析資料會加以回饋政府中央，以做參考依據!
中央則可以利用本公司回饋的資訊判斷每一個縣市的比例",衛生福利部,未回復,已分派,公司,[<p>關於您建議—【 您好~因為最近虐童案頻傳，想要有社工及安置兒童人數的資料作分析 】的建議開放資料集，已請主管機關【 衛生福利部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97545,判例,最高法院判例、最高行政法院判例,如全國法規資料庫網站提供,司法院遲不將判例資料以開放資料的方式釋出，那麼既然法務部全國法規資料庫也有資料，不如就請法務部也將此資料集釋出。,法務部,已回復,已分派,"星期一, 一月 21, 2019 - 14:50","[<p>有關台端反映「司法院遲未將判例資料以開放資料的方式釋出，本部全國法規資料庫亦有收錄相關判例，是否可由本部將此資料集釋出。」因全國法規資料庫入口網係於90年4月正式對外提供服務，並製作現行有效之中文法規_法律資料集(含憲法)、中文法規_命令資料集，英譯法規_法律資料集(含憲法)、英譯法規_命令資料集共計4個開放資料集，於102年7月底於「政府資料開放平臺」(https://data.gov.tw)上架供民眾下載加值運用。而上開法律、法規命令等法規資料係由法規主管機關依據「全國法規電腦處理作業規範」第伍點規定通報、介接(行政院公報資料)至本部全國法規資料庫入口網站，並由法規主管機關再行確認後，再由本部全國法規資料庫工作小組以系統自動產出開放資料集，故其具有即時性、正確性、完整性特質。惟最高法院判例、最高行政法院判例主管機關為司法院，本部全國法規資料庫工作小組僅能自行依照司法院網站公布週期，自該網站上主動蒐集並加以整編收錄，並無法確保資料之完整性、即時性與正確性，故仍建議應由主責機關司法院提供。感謝台端寶貴的意見。<br/>
法務部敬復。</p>]",[<p>關於您建議—【 判例 】的建議開放資料集，已請主管機關【 法務部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97536,各雨量站雨量歷史資料(可依照時間查詢),各雨量站十分鐘雨量歷史資料,雨量站代碼、雨量站名稱、雨量站所在縣市、雨量站所在鄉鎮、TWD67經度、TWD67緯度、10分鐘累計雨量、1小時、2小時、3小時、6小時、12小時、24小時、當日累計雨量、48小時、72小時、發佈時間,使用了「十分鐘雨量」後，發現需要之前雨量資訊時無法得知，希望可以有歷史資料可以傳入時間參數(yyyy-MM-ddTHH:mm:ss)取得該日的累計雨量(同「十分鐘雨量」開放資料的欄位),交通部,已回復,已分派,"星期一, 一月 21, 2019 - 14:23","[<p>您好：</p>, <p>有關您的意見反應本部氣象局已知悉，對於您所提歷史資料需求，本部氣象局將儘速研擬於整點過後(約15分左右)，提供過去1小時內每10分鐘雨量資料供民眾下載使用，預計108年2月15日前提供。由於本項自動雨量站觀測資料是以動態更新方式提供即時雨量資料，因此有可能發生最新一筆小時雨量資料跟過去10分鐘累加的資料不一致的情形，或因某站資料有異常關閉，導致過去有該站資料，但最新資料卻沒有的情況發生，提醒您留意。<br/>
以上說明提供您參考，不便之處，敬請見諒。</p>, <p>交通部(中央氣象局)  敬復 </p>]",[<p>關於您建議—【 各雨量站雨量歷史資料(可依照時間查詢) 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97475,綜合所得稅所得總額各縣市鄉鎮村里統計資料合併,全國各鄉鎮村里統計資料,縣市別、村里、納稅單位、綜合所得總額、平均數、中位數、第一分位數、第三分位數、標準差、變異係數,在開放資料平臺上，已有部分縣市公開村里綜合所得稅之分析資料，然部分仍尚未公開，且資料各自獨立散落，使用起來相當不便。希望(1) 合併資料集，公開全國各縣市村里綜合所得稅之建議開放欄位資料(依縣市村里別) (2) 公開西元2000年(民89年)至今的資料,財政部,已回復,已分派,"星期四, 一月 17, 2019 - 16:20","[<p>您好，關於您建議事項，說明如下：<br/>
一、財政資訊中心已完整提供101年度至104年度全國22縣市綜合所得稅所得各縣市鄉鎮村里統計表。建議台端可利用政府資料開放平臺搜尋功能，輸入(""財政資訊中心"" and ""各縣市鄉鎮村里統計"")即可查詢到22筆相關資訊。<br/>
二、關於提供合併資料集，考量22縣市鄉鎮村里資料合併為單一資料集後資料列數量龐大，亦不利查找，故以縣市為單位分檔，提供資料供各界自行運用。<br/>
三、關於公開西元2000年(民國89年)至今的資料部份，配合國家發展委員會依101年11月8日行政院第3322次院會決議，於102年4月起推動政府開放資料後，財政資訊中心已陸續提供101年度至104年度資料開放供各界運用。至於89年至100年之資料，因往年並無產製CSV檔，且經99年縣市改制後已更新稅務資料，加上稅務資料隨時異動的特性，若由程式重新產製前揭年度CSV檔，會與目前財政資訊中心網站發布之資料有不一致現象，將造成各界運用上之困擾，故目前僅公布於財政資訊中心網站供各界運用。台端可至財政資訊中心網站(www.fia.gov.tw)「行政資訊公開」項下之「業務統計(含性別統計)」下載各年度綜合所得稅申報核定統計專冊檔案(html格式)運用。<br/>
如尚有相關問題，歡迎逕洽本中心黃小姐(電話：02-27631833分機1336)<br/>
感謝您的提案建議<br/>
財政部財政資訊中心  敬上</p>]",[<p>(1) 當檔案分成22個縣市時，要進行統計分析時只會更困擾，需要一個個拿下來合併或寫額外的code來引入，增加不必要的整理程序。(2) 資料列龐大是否利於查找，我們在做分析時可以寫code解決，這不是公布資料需要考量的事情，只要資料標示清楚、可讀取利用就好。</p>],"[<p>您好，關於您建議事項，再次說明如下：<br/>
一、經檢視22縣市資料集瀏覽及下載次數差異，大部份民眾僅需部份縣市或單一縣市資料，全部合併後檔案過大且查找不易，所以目前才以縣市為單位分檔提供。<br/>
二、現行財政資訊中心「綜合所得稅所得總額各縣市鄉鎮村里統計資料」程式亦僅產製依縣市區分之CSV檔，參酌台端所述併檔統計分析需求，財政資訊中心將修改程式，往後年度除依縣市產製檔案外，另產製合併檔案供各界運用。惟前已提供之101年度至104年度資料，因之前並無彙整合併之CSV檔案且因稅務資料隨時異動特性，將配合採人工手動合併方式處理，預計於108年6月底起陸續提供。<br/>
以上，感謝您的建議。</p>, <p>財政部財政資訊中心  敬上</p>]",[<p>非常感謝財政部願意抱持開放心態來調整開放方式</p>],[<p>關於您建議—【 綜合所得稅所得總額各縣市鄉鎮村里統計資料合併 】的建議開放資料集，已請主管機關【 財政部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97326,公開強震即時警報（地震速報）發布標準,強震即時警報發布標準,發布流程、發布管道、發布門檻、合作單位,瞭解中央氣象局強震即時警報發布的標準，官網僅災防告警系統、電視插播有較詳細說明，但與民間業者合作的部分（如電腦軟體、手機app、警報器）的發布門檻與合作單位並不明確,交通部,已回復,已分派,"星期三, 一月 16, 2019 - 13:59","[<p>您好：</p>, <p>有關「強震即時警報發布標準」需求案，本部回復如下：<br/>
一、有關本部氣象局強震即時警報發布流程、發布管道、發布門檻及合作單位等資訊謹說明如下：<br/>
(一)	發布流程：以近震央少數測站資料進行快速定位，解算震央位置、震源深度及規模大小等地震參數，並計算全國22縣市政府所在地測站之預估震度大小，當達到強震即時警報發布門檻時，即透過下列4種發布管道對外發送警報。<br/>
(二)	發布管道、門檻及合作單位：目前本部氣象局對外通報強震即時警報的方式，含應用本部氣象局地震速報系統、災防告警細胞廣播系統﹙PWS﹚、電視臺畫面插播及與民間業者合作加值機制4種管道，分述如次：<br/>
1.	應用本部氣象局地震速報系統：當預估地震規模達4.5以上，且任一縣市政府所在地預估震度達3級以上，本部氣象局地震速報系統即主動直接通報包括全國中小學校園、消防與軍方救災單位﹙至2018年底已超過4,300個服務對象﹚，各接收端自行設定當地啟動警報之震度門檻與後續之應用。<br/>
2.	應用災防告警細胞廣播系統﹙PWS﹚：當預估地震規模5.0以上，且任一縣市政府所在地預估震度達4級以上﹙臺北市預估震度3級以上﹚，針對的告警地區（即達到門檻的縣市），本部氣象局主動透由災防告警細胞廣播系統﹙PWS﹚發布警報廣播。<br/>
3.	應用電視臺畫面插播：當預估地震規模達5.0以上，且任一縣市政府所在地預估震度達3級以上，本部氣象局即透由電視插播至播放中的節目畫面告知收視民眾。目前本部氣象局已與東森電視臺、三立電視臺、TVBS、中天電視臺、中國電視公司及大愛電視臺完成合作提供地震訊息插播。<br/>
4.	應用與民間業者合作加值機制：本部氣象局亦透過與民間業者或其他單位簽署合作契約的方式，當預估地震規模達4.5以上，且任一縣市政府所在地預估震度達3級以上，本部氣象局即主動傳送速報訊息，提供民間業者加值應用，如結合手機app、警報器等相關應用技術啟動警報與對其顧客進行客製化服務。目前與本部氣象局簽署有效合作契約之民間業者或機構組織計13家，包括財團法人國家地震工程研究中心、三聯科技股份有限公司、卡訊電子實業有限公司、天下數位科技股份有限公司、東億電通有限公司、財團法人中興工程顧問社、詠動科技股份有限公司、艾迪互動股份有限公司、國立暨南國際大學資訊工程學系、美麗蓮股份有限公司、磊客思科技股份有限公司、弘政通信有限公司及畿尼科技股份有限公司。<br/>
二、關於本項提案，考量本部氣象局強震即時警報之發布流程、發布管道、發布門檻及合作單位等項目屬性，與採開放資料平臺方式呈現相較，另採說明文件方式透過本部氣象局官網等管道公告應較為適合。<br/>
三、若您對於強震即時警報發布議題，希望能有進一步瞭解與討論，歡迎電洽02-23491352林課長，我們會儘速為您服務。<br/>
以上說明，謹供參考。</p>, <p>交通部(中央氣象局)  敬復</p>]",[<p>關於您建議—【 公開強震即時警報（地震速報）發布標準 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97325,公開強震即時警報（地震速報）發布紀錄,強震即時警報發布紀錄,（預估）時間、經度、緯度、深度、規模、最大震度，發布管道（災防告警系統、電視）是否發布,瞭解中央氣象局強震即時警報發布的情形，並可確認未接收到之原因,交通部,已回復,已分派,"星期三, 一月 16, 2019 - 13:56","[<p>您好：</p>, <p>有關「強震即時警報發布紀錄」需求案，本部回復如下：<br/>
一、本部氣象局發布強震即時警報之主要目的係應用於地震預警，基於預警之時效需求，警報產製與發送原理是以近震央少數測站資料進行快速定位，解算震央位置、震源深度及規模大小等地震參數，並計算全國22縣市政府所在地測站之預估震度大小，當達到強震即時警報發布門檻時，即透過本部氣象局地震速報訊息通報軟體、災防告警細胞廣播訊息系統(PWS)、電視臺插播及與民間業者合作(業者自行開發手機app、警報器等應用技術)等管道對外發送。由於該警報發布為全自動化作業，存在誤報與漏報風險，同時其各項數值均為快速解算之預估值，與震後數分鐘由本部氣象局發布的正式地震報告內容可能會有所差別，因此強震即時警報參數之研判分析涉專業知識之評估及研究，可做為本部氣象局內部改善警報發布作業的參考，而不宜直接將強震即時警報訊息傳送至開放資料平臺。<br/>
二、另本部氣象局透由災防告警系統(PWS)發布之各式警報訊息內容，包括大雷雨即時訊息、地震速報(即強震即時警報)、颱風強風告警及海嘯警報均可於本部氣象局官網查詢，網址點選位置：首頁&gt;防災氣象&gt;災防訊息彙整。<br/>
三、若您對於強震即時警報資訊議題，希望能有需進一步瞭解與討論，歡迎電洽02-23491352林課長，我們會儘速為您服務。<br/>
以上說明，謹供參考。</p>, <p>交通部(中央氣象局)  敬復</p>]",[<p>關於您建議—【 公開強震即時警報（地震速報）發布紀錄 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97309,中央氣象局的十分鐘雨量,十分鐘雨量資料,2小時、2日、3日累積雨量,您好，我從開放資料平台( https://opendata.epa.gov.tw/Data/Contents/RainTenMin )找到中央氣象局提供的十分鐘雨量數據，請問是否可以增添2小時的累積雨量(當下大雨的時候，需要前三小時的每小時兩量變化)，以及2日、3日的累積雨量(長時間的雨量累計),交通部,已回復,已分派,"星期四, 一月 17, 2019 - 13:58","[<p>您好：</p>, <p>有關您的意見反映及需求，本部氣象局將儘速研擬提供前1日及前2日的雨量累積資料供大眾下載使用，預計108年3月31日前完成。惟您所建議2小時及3日的累積雨量資料，因開放資料的目的是提供原始資料給大眾加值處理與應用，且每位使用者對資料的需求不同，本部氣象局將收集更多的意見評估處理；在尚未提供該資料前，建議您自行加總累計處理。<br/>
另有關「前1日」係指前1日零時至今累積雨量。「前2日」係指前2日零時至今累積雨量。<br/>
以上說明提供您參考，不便之處，敬請見諒。</p>, <p>交通部(中央氣象局)  敬復</p>]",[<p>感謝回應</p>],[<p>關於您建議—【 中央氣象局的十分鐘雨量 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97017,建議開放國道南橫公路可行性研究報告書,國道南橫公路可行性研究及初步規劃摘要報告,無,方便了解過去交通建設的規劃內容,交通部,已回復,已分派,"星期五, 一月 11, 2019 - 15:30","[<p>您好：<br/>
由於案內摘要報告係由本部前臺灣區國道新建工程局於民國81年完成，當初評估單位已裁撤，且因年代久遠、歷經多年地形地貌之改變，為避免報告內容被錯誤引用，未便提供，請諒查。<br/>
感謝您的提問及建議。 </p>, <p>交通部(高速公路局)  敬復</p>]",[<p>關於您建議—【 建議開放國道南橫公路可行性研究報告書 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
97016,建議開放南橫公路路廊評選規劃書,國道南橫公路路線研選：路廊方案評選報告,無,方便了解過去交通建設的規劃內容,交通部,已回復,已分派,"星期五, 一月 11, 2019 - 15:51","[<p>您好：<br/>
由於該評選報告係由本部前臺灣區國道新建工程局於民國83年完成，當初評估單位已裁撤，且因年代久遠、歷經多年地形地貌之改變，為避免報告內容被錯誤引用，未便提供，請諒查。<br/>
感謝您的提問及建議。 </p>, <p>交通部(高速公路局)  敬復</p>]",[<p>關於您建議—【 建議開放南橫公路路廊評選規劃書 】的建議開放資料集，已請主管機關【 交通部 】研議辦理，相關辦理情形說明將請主管機關儘速回復，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>]
